Code,Source,Name,Description,Version
160357008,SNOMED CT,Family History: Hypertension,,
275104002,SNOMED CT,Family History: Stroke,,
297242006,SNOMED CT,Family History:Ischemic Heart Disease ,,
160303001,SNOMED CT,Family History:Diabetes Mellitus,,
39789004,SNOMED CT,Snuff Tobacco,,
66562002,SNOMED CT,Cigarette Smoking Tobacco,,
81911001,SNOMED CT,Chewing Tobacco,,
162782003,SNOMED CT,Foot Edema,,
55300003,SNOMED CT,Cramp,,
422587007,SNOMED CT,Nausea,,
300359004,SNOMED CT,Vomiting,,
418290006,SNOMED CT,Itching,,
13791008,SNOMED CT,General Weekness,,
161898004,SNOMED CT,Falls,,
25064002,SNOMED CT,Headache,,
62507009,SNOMED CT,Tingling,,
14760008,SNOMED CT,Constipation,,
29857009,SNOMED CT,Chest Pain,,
297142003,SNOMED CT,Foot Swelling,,
70466008,SNOMED CT,Bruit,,
404640003,SNOMED CT,Dizziness ,,
267036007,SNOMED CT,Shortness of breath,,
128606002,SNOMED CT,Disorder of the urinary system,,
43339004,SNOMED CT,Hypokalemia,,
90560007,SNOMED CT,Gout,,
49727002,SNOMED CT,Cough,,
42343007,SNOMED CT,Congestive heart failure ,,
22298006,SNOMED CT,Myocardial Infarction,,
38341003,SNOMED CT,Hypertension,,
38716007,SNOMED CT,Atherosclerosis,,
38481006,SNOMED CT,Hypertensive renal disease ,,
95860004,SNOMED CT,Traumatic amputation of lower extremity,,
295495008,SNOMED CT,Overdose of anesthetic agent ,,
73211009,SNOMED CT,DM - Diabetes mellitus,,
266257000,SNOMED CT,TIA - Transient ischaemic attack,,
230690007,SNOMED CT,Stroke,,
414545008,SNOMED CT,Ischemic heart disease,,
13645005,SNOMED CT,COPD - Chronic obstructive pulmonary disease,,
195967001,SNOMED CT,Asthma,,
449759005,SNOMED CT,Complication of systemic hypertensive disorder,,
709044004,SNOMED CT,CKD - chronic kidney disease,,
52448006,SNOMED CT,Dementia,,
78275009,SNOMED CT,Obstructive sleep apnea syndrome ,,
34486009,SNOMED CT,Hyperthyroidism ,,
66999008,SNOMED CT,Hyperparathyroidism ,,
40930008,SNOMED CT,Hypothyroidism,,
7305005,SNOMED CT,Coarctation of aorta,,
15188001,SNOMED CT,Hearing loss ,,
27113001,SNOMED CT,Body Weight,,
50373000,SNOMED CT,Body Height,,
60621009,SNOMED CT,Body Mass Index,,
312417001,SNOMED CT,Substance of Abuse,,
365967005,SNOMED CT,Alcohol Intake,,
432213005,SNOMED CT,Date of Diagnosis,,
418319009,SNOMED CT,Cataract of Left Eye,,
418567000,SNOMED CT,Cataract of Right Eye,,
248367009,SNOMED CT,Waist/Hip Ratio,,
276361009,SNOMED CT,Waist Circumference ,,
284472007,SNOMED CT,Hip Circumference,,
8499008,SNOMED CT,Pulse,,
309646008,SNOMED CT,Body Temperature,,
163030003,SNOMED CT,Systolic Blood Pressure,,
163031004,SNOMED CT,Diastolic Blood Pressure,,
702817009,SNOMED CT,Pre Hypertension,,
267110002,SNOMED CT,Dietary Sodium intake,,
57177007,SNOMED CT,Family History,,
62014003,SNOMED CT,Adverse Drug Reactions,,
398192003,SNOMED CT,Co-morbidities,,
43994002,SNOMED CT,Lack of physical activity,,
238131007,SNOMED CT,Overweight,,
77386006,SNOMED CT,Is Patient Pregnant,,
230145002,SNOMED CT,Difficulty in Breathing,,
289176001,SNOMED CT,Advice to change sodium intake,,
702388001,SNOMED CT,Tobacco use cessation education,,
37931006,SNOMED CT,Auscultation ,,
29303009,SNOMED CT,Electrocardiographic ,,
399208008,SNOMED CT,Chest X-ray,,
40701008,SNOMED CT,Echocardiography,,
271061004,SNOMED CT,Random blood glucose ,,
413024003,SNOMED CT,Urine pigment analysis,,
113075003,SNOMED CT,Serum creatinine,,
104934005,SNOMED CT,Serum sodium level,,
271236005,SNOMED CT,Serum potassium level,,
268556000,SNOMED CT,Urine screening for glucose,,
121868005,SNOMED CT,Total Cholesterol,,
14740000,SNOMED CT,Triglycerides measurement ,,
28036006,SNOMED CT,HDL cholesterol measurement,,
113079009,SNOMED CT,LDL cholesterol measurement,,
104585005,SNOMED CT,VLDL cholesterol measurement,,
314012003,SNOMED CT,Serum LDL/HDL ratio,,
166842003,SNOMED CT,Total cholesterol:HDL ratio,,
16254007,SNOMED CT,Lipid Panel,,
