uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,,reference-term-source,reference-term-code,reference-term-relationship
,Family History: Hypertension,,Misc,FH: Hypertension,N/A,,,,,,,,,,,,,,,,,SNOMED CT,160357008,SAME-AS
,Family History: Stroke,,Misc,FH:Stroke,N/A,,,,,,,,,,,,,,,,,SNOMED CT,275104002,SAME-AS
,Family History:Ischemic Heart Disease ,,Misc,FH:IHD,N/A,,,,,,,,,,,,,,,,,SNOMED CT,297242006,SAME-AS
,Family History:Diabetes Mellitus,,Misc,FH:Diabetes,N/A,,,,,,,,,,,,,,,,,SNOMED CT,160303001,SAME-AS
,Snuff Tobacco,,Misc,Snuff Tobacco,N/A,,,,,,,,,,,,,,,,,SNOMED CT,39789004,SAME-AS
,Cigarette Smoking Tobacco,,Misc,Cigarette,N/A,,,,,,,,,,,,,,,,,SNOMED CT,66562002,SAME-AS
,Chewing Tobacco,,Misc,Chewing Tobacco,N/A,,,,,,,,,,,,,,,,,SNOMED CT,81911001,SAME-AS
,Foot Edema,,Misc,Foot Edema,N/A,,,,,,,,,,,,,,,,,SNOMED CT,162782003,SAME-AS
,Cramp,,Misc,Cramp,N/A,,,,,,,,,,,,,,,,,SNOMED CT,55300003,SAME-AS
,Nausea,,Misc,Nausea,N/A,,,,,,,,,,,,,,,,,SNOMED CT,422587007,SAME-AS
,Vomiting,,Misc,Vomiting,N/A,,,,,,,,,,,,,,,,,SNOMED CT,300359004,SAME-AS
,Itching,,Misc,Itching,N/A,,,,,,,,,,,,,,,,,SNOMED CT,418290006,SAME-AS
,General Weekness,,Misc,Weekness,N/A,,,,,,,,,,,,,,,,,SNOMED CT,13791008,SAME-AS
,Falls,,Misc,Falls,N/A,,,,,,,,,,,,,,,,,SNOMED CT,161898004,SAME-AS
,Headache,,Misc,Headache,N/A,,,,,,,,,,,,,,,,,SNOMED CT,25064002,SAME-AS
,Tingling,,Misc,Tingling,N/A,,,,,,,,,,,,,,,,,SNOMED CT,62507009,SAME-AS
,Constipation,,Diagnosis,Constipation,N/A,,,,,,,,,,,,,,,,,SNOMED CT,14760008,SAME-AS
,Chest Pain,,Misc,Chest Pain,N/A,,,,,,,,,,,,,,,,,SNOMED CT,29857009,SAME-AS
,Foot Swelling,,Misc,Foot Swelling,N/A,,,,,,,,,,,,,,,,,SNOMED CT,297142003,SAME-AS
,Bruit,,Misc,Bruit,N/A,,,,,,,,,,,,,,,,,SNOMED CT,70466008,SAME-AS
,Dizziness ,,Misc,Dizziness ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,404640003,SAME-AS
,Shortness of breath,,Misc,Breathlessness,N/A,,,,,,,,,,,,,,,,,SNOMED CT,267036007,SAME-AS
,Disorder of the urinary system,,Misc,Urological disorder,N/A,,,,,,,,,,,,,,,,,SNOMED CT,128606002,SAME-AS
,Hypokalemia,,Misc,Hypokalemia,N/A,,,,,,,,,,,,,,,,,SNOMED CT,43339004,SAME-AS
,Gout,,Misc,Gout,N/A,,,,,,,,,,,,,,,,,SNOMED CT,90560007,SAME-AS
,Cough,,Misc,Cough,N/A,,,,,,,,,,,,,,,,,SNOMED CT,49727002,SAME-AS
,Congestive heart failure ,,Diagnosis,Congestive heart failure ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,42343007,SAME-AS
,Myocardial Infarction,,Diagnosis,Myocardial Infarction,N/A,,,,,,,,,,,,,,,,,SNOMED CT,22298006,SAME-AS
