uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,,reference-term-source,reference-term-code,reference-term-relationship
,Beta-Blocking agent,,Drug,Beta-Blocking agent,N/A,,,,,,,,,,,,,,,,,SNOMED CT,33252009,SAME-AS
,Calcium channel blocker,,Drug,Calcium channel blocker,N/A,,,,,,,,,,,,,,,,,SNOMED CT,373304005,SAME-AS
,ACE inhibitor agent,,Drug,ACE inhibitor agent ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,41549009,SAME-AS
,Thiazide diuretic,,Drug,Thiazide diuretic,N/A,,,,,,,,,,,,,,,,,SNOMED CT,45518007,SAME-AS
,Angiotensin II receptor antagonist,,Drug,Angiotensin II receptor antagonist,N/A,,,,,,,,,,,,,,,,,SNOMED CT,96308008,SAME-AS
,Hydrochlorothiazide 25 mg oral tablet,,Drug,Hydrochlorothiazide 25 mg oral tablet,N/A,,,,,,,,,,,,,,,,,SNOMED CT,376209006,SAME-AS
,Amlodipine 5mg orally disintegrating tablet ,,Drug,Amlodipine 5mg orally disintegrating tablet ,N/A,,,,,,,,,,,,,,,,,SNOMED CT,429152001,SAME-AS
,Atenolol 50 mg oral tablet,,Drug,Atenolol 50 mg oral tablet,N/A,,,,,,,,,,,,,,,,,SNOMED CT,318420003,SAME-AS
,Hydrochlorothiazide,,Drug,Hydrochlorothiazide,N/A,,,,,,,,,,,,,,,,,SNOMED CT,91667005,SAME-AS
,Calcium Chanel Blocker,,Drug,Calcium Chanel Blocker,N/A,,,,,,,,,,,,,,,,,SNOMED CT,48698004,SAME-AS
,Nitroglycerin,,Drug,Nitroglycerin,N/A,,,,,,,,,,,,,,,,,SNOMED CT,71759000,SAME-AS
,Digoxin,,Drug,Digoxin,N/A,,,,,,,,,,,,,,,,,SNOMED CT,796001,SAME-AS
,Essential Hypertension,,Finding,Essential Hypertension,Text,,,,,,Primary Hypertension,,,,,,,,,,,SNOMED CT,59621000,SAME-AS
,Secondary Hypertension,,Finding,Secondary Hypertension,Coded,,,,,,,Obstructive sleep apnea syndrome ,Hyperthyroidism ,Hyperparathyroidism ,Hypothyroidism,Coarctation of aorta,,,,,,SNOMED CT,31992008,SAME-AS
,Hypertension Screening Done,,Finding,Hypertension Screening Done,Boolean,,,,,,,,,,,,,,,,,,,
,Hypertension Screening Date,,Finding,Hypertension Screening Date,Date,,,,,,,,,,,,,,,,,,,
